"Date","Price","Open","High","Low","Vol.","Change %"
"06-05-2025","963.45","962.60","967.64","959.76","17.49M","-0.26%"
"05-05-2025","966.00","967.09","973.58","963.75","15.07M","0.61%"
"02-05-2025","960.11","962.51","968.54","957.62","22.81M","0.00%"
"30-04-2025","960.11","954.13","966.05","952.78","31.94M","0.85%"
"29-04-2025","952.03","957.02","962.01","947.74","18.92M","-0.59%"
"28-04-2025","957.72","953.23","962.46","951.83","13.92M","0.47%"
"25-04-2025","953.23","960.01","964.10","943.55","18.50M","-0.29%"
"24-04-2025","956.02","952.63","959.56","950.19","25.93M","-0.37%"
"23-04-2025","959.56","986.99","986.99","957.87","30.57M","-1.93%"
"22-04-2025","978.42","965.10","982.85","965.10","45.96M","1.80%"
"21-04-2025","961.16","959.61","972.93","952.63","34.25M","1.07%"
"17-04-2025","950.98","938.66","957.47","936.02","35.70M","1.53%"
"16-04-2025","936.67","939.56","939.56","927.94","19.14M","0.70%"
"15-04-2025","930.14","930.19","936.07","925.20","49.30M","3.22%"
"11-04-2025","901.13","885.17","907.44","885.17","32.78M","2.37%"
"09-04-2025","880.31","880.31","885.30","874.57","22.45M","-0.23%"
"08-04-2025","882.38","880.31","888.79","872.98","35.56M","0.65%"
"07-04-2025","876.67","879.21","887.72","866.94","38.00M","-3.28%"
"04-04-2025","906.39","904.25","918.69","903.30","33.54M","1.25%"
"03-04-2025","895.20","888.34","899.76","886.29","11.25M","-0.11%"
"02-04-2025","896.22","883.15","897.37","883.15","11.57M","1.64%"
"01-04-2025","881.73","898.76","902.70","880.48","28.51M","-3.30%"
"28-03-2025","911.83","912.23","915.72","900.68","28.77M","0.16%"
"27-03-2025","910.41","897.77","918.22","896.82","41.66M","1.04%"
"26-03-2025","901.03","910.24","911.48","898.76","24.48M","-0.82%"
"25-03-2025","908.46","900.21","919.56","898.51","39.10M","1.19%"
"24-03-2025","897.77","887.29","899.96","884.62","17.39M","1.67%"
"21-03-2025","882.98","875.60","884.85","875.60","33.51M","0.09%"
"20-03-2025","882.18","874.82","884.80","872.48","17.83M","1.41%"
"19-03-2025","869.89","865.35","873.33","863.95","15.22M","0.69%"
"18-03-2025","863.95","861.86","866.54","855.40","21.91M","1.27%"
"17-03-2025","853.08","850.38","859.86","850.38","18.95M","0.22%"
"13-03-2025","851.18","855.90","858.26","847.92","15.74M","-0.27%"
"12-03-2025","853.45","843.68","857.12","843.68","18.78M","1.52%"
"11-03-2025","840.66","839.11","844.90","832.95","19.90M","-0.12%"
"10-03-2025","841.66","842.40","847.84","839.44","15.60M","-0.10%"
"07-03-2025","842.53","838.91","848.46","836.72","13.37M","-0.12%"
"06-03-2025","843.50","841.41","847.84","834.05","32.97M","0.07%"
"05-03-2025","842.90","848.86","853.28","842.03","21.58M","-1.17%"
"04-03-2025","852.88","846.89","855.02","844.52","19.92M","0.50%"
"03-03-2025","848.66","867.74","869.36","844.95","21.21M","-1.78%"
"28-02-2025","864.05","840.41","866.47","840.41","54.52M","1.86%"
"27-02-2025","848.24","839.19","853.25","839.19","35.79M","1.09%"
"25-02-2025","839.09","833.48","841.91","833.48","24.14M","0.31%"
"24-02-2025","836.47","838.46","840.01","828.49","20.69M","-0.91%"
"21-02-2025","844.15","838.36","845.37","836.54","15.68M","0.32%"
"20-02-2025","841.46","853.38","855.22","840.56","26.39M","-2.32%"
"19-02-2025","861.46","856.37","866.79","854.10","11.88M","0.24%"
"18-02-2025","859.39","854.40","863.63","850.96","16.35M","0.33%"
"17-02-2025","856.54","840.51","857.87","838.54","12.94M","1.33%"
"14-02-2025","845.32","848.84","848.84","837.92","19.96M","-0.17%"
"13-02-2025","846.74","847.39","855.00","844.67","12.60M","-0.53%"
"12-02-2025","851.28","844.40","853.88","838.51","22.81M","0.32%"
"11-02-2025","848.59","849.39","853.38","842.25","22.72M","-0.84%"
"10-02-2025","855.75","856.52","859.59","852.13","17.20M","-0.98%"
"07-02-2025","864.22","872.83","881.31","860.36","23.51M","-0.64%"
"06-02-2025","869.76","865.60","872.33","859.86","26.76M","0.35%"
"05-02-2025","866.74","864.35","869.94","857.32","23.68M","0.98%"
"04-02-2025","858.31","842.25","860.76","837.94","28.62M","2.56%"
"03-02-2025","836.92","832.93","841.31","829.66","20.28M","-0.77%"
"01-02-2025","843.38","846.64","854.37","835.95","5.59M","-0.46%"
"31-01-2025","847.27","841.53","850.23","839.89","15.82M","0.43%"
"30-01-2025","843.65","838.41","846.84","834.20","25.74M","0.85%"
"29-01-2025","836.57","835.42","838.49","832.35","12.62M","0.41%"
"28-01-2025","833.13","821.46","840.06","821.46","30.18M","2.49%"
"27-01-2025","812.88","818.51","819.76","810.98","22.80M","-1.21%"
"24-01-2025","822.85","827.94","833.08","820.21","24.24M","-0.91%"
"23-01-2025","830.38","841.41","841.41","823.58","34.91M","-0.07%"
"22-01-2025","830.96","819.16","833.88","810.71","30.62M","1.44%"
"21-01-2025","819.16","827.07","828.46","814.50","31.16M","-0.54%"
"20-01-2025","823.58","810.98","828.41","810.98","17.56M","0.89%"
"17-01-2025","816.34","819.71","823.20","812.23","23.11M","-0.93%"
"16-01-2025","823.97","824.37","828.21","819.39","21.21M","0.55%"
"15-01-2025","819.49","826.19","829.29","816.12","14.02M","-0.22%"
"14-01-2025","821.26","817.91","826.04","816.47","26.66M","0.97%"
"13-01-2025","813.40","817.96","821.33","810.13","21.67M","-1.56%"
"10-01-2025","826.32","833.43","835.37","824.95","17.45M","-0.66%"
"09-01-2025","831.83","839.98","842.40","826.99","40.42M","-1.56%"
"08-01-2025","845.05","852.01","853.70","839.59","19.74M","-1.11%"
"07-01-2025","854.57","855.37","858.36","847.89","13.53M","0.17%"
"06-01-2025","853.13","867.89","876.42","850.78","18.82M","-2.21%"
"03-01-2025","872.43","893.28","895.40","870.98","24.43M","-2.48%"
"02-01-2025","894.65","886.34","899.49","884.30","18.56M","0.62%"
"01-01-2025","889.16","884.52","894.77","878.36","7.31M","0.56%"
"31-12-2024","884.22","882.95","888.69","880.61","14.12M","-0.28%"
"30-12-2024","886.74","893.88","905.25","883.30","22.22M","-1.13%"
"27-12-2024","896.89","895.17","900.73","892.33","7.26M","0.42%"
"26-12-2024","893.15","897.04","903.75","888.17","10.48M","-0.41%"
"24-12-2024","896.82","898.79","902.11","892.55","14.49M","-0.16%"
"23-12-2024","898.26","888.79","900.76","888.44","11.04M","1.67%"
"20-12-2024","883.55","888.89","896.54","881.33","25.69M","-1.23%"
"19-12-2024","894.52","897.57","898.31","887.29","25.38M","-0.95%"
"18-12-2024","903.10","912.65","915.72","901.33","23.42M","-1.23%"
"17-12-2024","914.35","925.87","928.86","910.98","21.08M","-1.71%"
"16-12-2024","930.29","930.24","932.65","925.32","13.11M","-0.35%"
"13-12-2024","933.55","928.94","935.17","912.35","19.01M","0.67%"
"12-12-2024","927.32","923.20","932.01","922.06","17.29M","-0.21%"
"11-12-2024","929.24","928.54","933.63","926.07","14.05M","-0.27%"
"10-12-2024","931.73","936.52","936.52","926.97","13.33M","-0.10%"
"09-12-2024","932.68","924.52","937.67","922.21","26.95M","0.76%"
"06-12-2024","925.62","926.20","929.79","919.71","17.78M","-0.53%"
"05-12-2024","930.56","927.69","937.64","915.32","39.68M","0.30%"
"04-12-2024","927.74","916.72","930.19","913.30","44.67M","1.85%"
"03-12-2024","910.88","909.09","916.42","905.80","43.41M","1.20%"
"02-12-2024","900.11","899.51","901.83","885.30","15.11M","0.48%"
"29-11-2024","895.80","898.41","900.06","889.24","27.67M","0.16%"
"28-11-2024","894.35","907.24","915.77","891.78","35.72M","-1.06%"
"27-11-2024","903.90","892.73","906.42","890.36","32.71M","1.50%"
"26-11-2024","890.56","902.75","902.75","882.70","30.94M","0.00%"
"25-11-2024","890.58","890.31","899.54","880.26","427.74M","2.29%"
"22-11-2024","870.63","869.61","874.97","862.63","24.77M","0.25%"
"21-11-2024","868.44","872.53","877.32","864.95","35.72M","-0.06%"
"19-11-2024","868.96","854.87","874.70","849.24","50.98M","2.18%"
"18-11-2024","850.43","847.89","857.32","845.40","27.08M","0.73%"
"14-11-2024","844.27","834.47","850.31","833.97","27.15M","0.68%"
"13-11-2024","838.59","856.24","862.55","834.42","35.73M","-2.14%"
"12-11-2024","856.97","883.80","885.30","852.20","31.40M","-2.72%"
"11-11-2024","880.96","875.10","889.19","873.43","24.57M","0.68%"
"08-11-2024","875.05","873.83","878.71","870.76","19.90M","0.45%"
"07-11-2024","871.11","869.99","878.29","866.84","18.90M","-0.50%"
"06-11-2024","875.45","883.55","883.55","870.51","27.79M","-0.15%"
"05-11-2024","876.74","849.39","879.16","846.84","44.23M","2.55%"
"04-11-2024","854.92","870.33","870.33","853.33","28.09M","-1.34%"
"01-11-2024","866.49","864.35","869.89","860.91","1.76M","0.09%"
"31-10-2024","865.70","861.86","867.29","857.57","22.90M","0.06%"
"30-10-2024","865.15","868.84","875.20","859.96","32.72M","-0.98%"
"29-10-2024","873.75","860.93","879.81","860.41","35.79M","1.02%"
"28-10-2024","864.95","868.84","873.33","862.30","22.01M","-0.53%"
"25-10-2024","869.54","875.32","876.74","862.20","26.13M","-0.36%"
"24-10-2024","872.65","866.89","882.13","866.89","30.83M","0.80%"
"23-10-2024","865.75","850.41","871.08","850.41","38.04M","1.24%"
"22-10-2024","855.15","862.88","867.84","853.23","38.88M","-0.82%"
"21-10-2024","862.20","855.37","871.91","853.40","46.55M","2.79%"
"18-10-2024","838.84","829.49","843.40","825.00","24.81M","0.52%"
"17-10-2024","834.50","845.37","846.72","830.53","14.70M","-1.57%"
"16-10-2024","847.79","837.96","851.86","837.96","20.47M","0.93%"
"15-10-2024","839.96","844.90","846.89","835.67","19.65M","-0.24%"
"14-10-2024","841.96","825.97","843.93","824.95","18.53M","2.25%"
"11-10-2024","823.45","830.16","830.16","819.59","23.67M","-0.69%"
